#
# Extended slice
#
# nbits=95 nbins=5000
# maxdepth=10 nsamples=1
#
# Columns:
# j beta prob length fraction
0	1.99892	-nan	-nan	0.0006
1	1.99675	-nan	-nan	0.0012
2	1.99459	0.00789493	126.663	0.0022
3	1.99242	0.00783652	127.608	0.0022
4	1.99026	0.0088271	113.287	0.0046
5	1.9881	0.00875405	114.233	0.0046
6	1.98593	0.00872646	114.594	0.0046
7	1.98377	0.0103788	96.3499	0.0094
8	1.9816	0.0106764	93.6646	0.0096
9	1.97944	0.0106536	93.8653	0.0098
10	1.97727	0.0106125	94.2285	0.0096
11	1.97511	0.0105626	94.6737	0.0096
12	1.97294	0.010523	95.0299	0.0096
13	1.97078	0.0108547	92.1262	0.0098
14	1.96861	0.0111388	89.776	0.01
15	1.96645	0.0180773	55.3179	0.0198
16	1.96429	0.0183253	54.5695	0.02
17	1.96212	0.0186366	53.6579	0.0202
18	1.95996	0.0187256	53.4027	0.0204
19	1.95779	0.0185526	53.9007	0.0202
