file=sido-foo (200 100) iter=1200 (0.500000 0.750000) w=1.000000 h=0.500000 param=1.000000
#
# Dataset for average track length as function of K
#
# Computed for 1200 bits precision
# Sampled unit interval 3 times 67 bins
#
# Column labels:
# kay, avg-tracks/orbit expect 2^12=4096, deficit, avg-tracklen, avg-longest, rms-len
#
1	0	4096	-nan	0	-nan
0.995	0.38806	4095.61	-772.038	76.3234	-nan
0.99	1274.38	2821.62	96.8458	1192.89	299.015
0.985	1604.14	2491.86	92.1509	1192.78	290.018
0.98	4080.85	15.1542	53.3069	1164.98	183.168
0.975	4085.86	10.1393	52.0811	1157.4	178.848
0.97	4089.03	6.96517	49.883	1127.9	171.681
0.965	3914.3	181.701	24.9163	554.627	84.7934
0.96	4096	0	24.4905	560.323	83.7826
0.955	4096	0	23.3103	534.289	79.7173
0.95	4096	0	22.6218	522.572	77.3986
0.945	4096	0	21.5221	487.134	73.476
0.94	4096	0	21.7573	495.085	74.4258
0.935	4096	0	21.1823	481.358	72.3721
0.93	3701.61	394.388	11.1623	221.179	37.4479
0.925	4096	0	10.8042	226.493	36.6463
0.92	4096	0	10.7145	229.602	36.3717
0.915	4096	0	10.8183	229.896	36.7361
0.91	4096	0	10.4103	221.303	35.3329
0.905	4096	0	9.94484	208.821	33.7001
0.9	4096	0	10.1556	212.687	34.4564
0.895	4096	0	9.3427	191.423	31.5799
0.89	4096	0	9.28355	188.851	31.3957
0.885	4096	0	8.82811	177.517	29.8203
0.88	4096	0	8.71333	176.547	29.4412
0.875	3600.17	495.831	5.51838	96.0348	18.3127
0.87	4096	0	5.21905	92.2886	17.471
0.865	4096	0	5.16247	91.8358	17.2835
0.86	4096	0	5.13558	91.791	17.201
0.855	4096	0	5.05379	91.5821	16.9387
0.85	4096	0	4.94535	90.0348	16.5841
0.845	4096	0	4.89762	90.4279	16.4364
0.84	4096	0	4.8316	92.0547	16.2349
0.835	4096	0	4.83716	91.0398	16.251
0.83	4096	0	4.72185	90.3333	15.875
0.825	4096	0	4.64912	90.3433	15.6461
0.82	4096	0	4.67919	91.602	15.7598
0.815	4096	0	4.64653	91.5025	15.6581
0.81	4096	0	4.61181	92.0299	15.556
0.805	4096	0	3.39931	66.0149	11.44
0.8	4096	0	3.35839	64.4577	11.2922
0.795	4096	0	3.24974	63.9851	10.9278
0.79	4096	0	3.18638	63.597	10.7181
0.785	4096	0	3.19519	63.7363	10.7502
0.78	4096	0	3.15288	63.7811	10.6136
0.775	4096	0	3.11924	64.4776	10.5187
0.77	4096	0	3.12147	64.9552	10.5321
0.765	4096	0	3.10725	65.6716	10.4996
0.76	4096	0	3.0899	66.393	10.4519
0.755	4096	0	3.08842	67.0846	10.4574
0.75	4096	0	3.0973	68.6368	10.5026
0.745	4096	0	3.11175	70.2736	10.5726
0.74	4096	0	3.11584	71.4627	10.6081
0.735	4096	0	3.11915	71.5721	10.6193
0.73	4096	0	3.09315	71.6119	10.5507
0.725	4096	0	3.10929	71.7811	10.6028
0.72	4096	0	3.17934	75.7711	10.8874
0.715	4096	0	3.20133	77.9303	10.9783
0.71	4096	0	3.2335	79.0199	11.0979
0.705	4096	0	3.24089	80.1493	11.1349
0.7	4096	0	3.29179	82.4726	11.3255
0.695	4096	0	3.34109	84.7264	11.5301
0.69	4096	0	3.3709	87.0398	11.6525
0.685	4096	0	3.38867	87.3085	11.7191
0.68	4096	0	3.4841	91.1692	12.0985
0.675	4096	0	3.50594	93.0746	12.1864
0.67	4096	0	3.5253	94.7612	12.2669
0.665	4096	0	3.59638	99.2537	12.5731
0.66	4096	0	3.59648	97.6119	12.5819
0.655	4096	0	3.74723	103.667	13.1302
0.65	4096	0	3.82823	107.04	13.4289
0.645	4096	0	3.87647	109.766	13.609
0.64	4096	0	3.98855	113.438	14.0392
0.635	4096	0	4.10266	117.279	14.4481
0.63	4096	0	4.3528	126.119	15.397
0.625	4096	0	4.46255	130.085	15.8115
0.62	4096	0	4.61459	136.791	16.3721
0.615	4096	0	4.82305	142.731	17.1504
0.61	4096	0	5.07474	154.09	18.1284
0.605	4096	0	5.08229	155.507	18.1483
0.6	4096	0	5.32006	161.761	19.0233
0.595	4096	0	5.83051	179.363	20.9023
0.59	4096	0	6.1146	189.328	21.9578
0.585	4096	0	6.45288	201.08	23.2082
0.58	4096	0	6.75455	210.731	24.3374
0.575	4096	0	7.16906	224.383	25.8786
0.57	4096	0	7.6888	240	27.7778
0.565	4096	0	8.93889	281.97	32.3681
0.56	4096	0	10.1076	316.881	36.6492
0.555	4096	0	10.9834	346.219	39.8674
0.55	4096	0	10.8209	338.552	39.313
0.545	4096	0	13.4287	418.861	48.7884
0.54	4096	0	15.8026	490.836	57.4014
0.535	4096	0	15.6856	490.05	56.9643
0.53	4096	0	20.4952	631.647	74.3253
0.525	4096	0	21.7259	664.418	78.799
0.52	4095.99	0.00995025	30.1071	914.692	109.017
0.515	4094.55	1.45274	39.0173	1132.46	140.957
0.51	3027.37	1068.63	67.5092	1197.67	232.371
0.505	1330.57	2765.43	81.795	1197.1	263.113
